MYA	WAD
632.1314	9.6446
632.4059	9.6444
632.6804	9.6444
632.955	9.6444
633.2279	9.5888
633.5025	9.5887
633.777	9.5887
634.0515	9.5886
634.326	9.5885
634.6005	9.5885
634.8751	9.5884
635.1496	9.5883
635.4241	9.5883
635.6971	9.5326
635.9716	9.5326
636.2461	9.5325
636.5207	9.5324
636.7936	9.4768
637.0682	9.4767
637.3427	9.4767
637.6172	9.4766
637.8917	9.4765
638.1647	9.4209
638.4392	9.4209
638.7138	9.4208
638.9883	9.4207
639.2628	9.4207
639.5358	9.365
639.8103	9.365
640.0848	9.3649
640.3594	9.3648
640.6339	9.3648
640.9083	9.3647
641.1829	9.3646
641.4574	9.3646
641.732	9.3645
642.0065	9.3644
642.281	9.3644
642.5554	9.3643
642.83	9.3642
643.1046	9.3642
643.3791	9.3641
643.6521	9.3085
643.9266	9.3084
644.2011	9.3084
644.4756	9.3083
644.7501	9.3082
645.0247	9.3082
645.2992	9.3081
645.5737	9.308
645.8481	9.308
646.1227	9.3079
646.3973	9.3078
646.6718	9.3078
646.9463	9.3077
647.2208	9.3075
647.4953	9.3075
647.7699	9.3075
648.0444	9.3074
648.3189	9.3074
648.5918	9.2517
648.8664	9.2517
649.1409	9.2516
649.4155	9.2515
649.69	9.2515
649.9645	9.2514
650.2389	9.2513
650.5135	9.2513
650.7881	9.2511
651.0626	9.2511
651.3371	9.2511
651.6116	9.251
651.886	9.2509
652.1607	9.2509
652.4352	9.2508
652.7097	9.2507
652.9842	9.2507
653.2587	9.2506
653.5333	9.2505
653.8077	9.2505
654.0823	9.2504
654.3568	9.2503
654.6313	9.2503
654.9059	9.2502
655.1804	9.2501
655.4564	9.3056
655.7309	9.3056
656.0055	9.3054
656.28	9.3054
656.5545	9.3054
656.829	9.3053
657.1051	9.3608
657.3796	9.3607
657.6541	9.3607
657.6556	9.4162
657.9301	9.4161
658.2046	9.4161
658.4792	9.416
658.7537	9.4159
659.0282	9.4159
659.3027	9.4158
659.5773	9.4157
659.8518	9.4157
660.1278	9.4712
660.4022	9.4711
660.6768	9.471
660.9514	9.471
661.2274	9.5265
661.502	9.5264
661.7765	9.5263
662.051	9.5263
662.3255	9.5262
662.6	9.5261
662.8745	9.5261
663.1491	9.526
663.4236	9.5259
663.6981	9.5259
663.9742	9.5813
664.2487	9.5813
664.5232	9.5812
664.7976	9.5811
665.0722	9.5811
665.3468	9.581
665.6213	9.5809
665.8973	9.6364
666.1718	9.6364
666.4464	9.6362
666.7208	9.6362
666.9954	9.6362
667.2699	9.636
667.546	9.6916
667.8205	9.6915
668.095	9.6915
668.3695	9.6914
668.644	9.6913
668.9186	9.6913
669.1945	9.7467
669.4691	9.7467
669.7436	9.7466
670.0182	9.7465
670.2927	9.7465
670.5672	9.7464
670.8432	9.8018
671.1178	9.8018
671.3923	9.8018
671.6683	9.8573
671.9428	9.8572
672.2174	9.8571
672.4919	9.8571
672.7664	9.857
673.0409	9.8569
673.3154	9.8569
673.5899	9.8568
673.8645	9.8567
674.1405	9.9122
674.4151	9.9121
674.6896	9.9121
674.9641	9.912
675.2401	9.9675
675.5147	9.9674
675.7892	9.9674
676.0637	9.9673
676.3397	10.0228
676.6143	10.0227
676.8888	10.0227
677.1633	10.0226
677.4378	10.0225
677.7123	10.0225
677.9884	10.078
678.2629	10.0779
678.5373	10.0778
678.8119	10.0778
679.088	10.1332
679.3625	10.1332
679.637	10.1331
679.9115	10.133
680.1861	10.133
680.4606	10.1329
680.7351	10.1328
681.0096	10.1328
681.2841	10.1327
681.5587	10.1326
681.8332	10.1326
682.1092	10.1881
682.3837	10.188
682.6598	10.2435
682.9343	10.2434
683.2088	10.2434
683.2104	10.2989
683.4849	10.2988
683.7593	10.2988
684.0354	10.3543
684.31	10.3542
684.5859	10.4097
684.8605	10.4096
685.135	10.4096
685.4096	10.4095
685.6841	10.4094
685.9586	10.4094
686.2331	10.4093
686.5076	10.4092
686.7822	10.4092
687.0567	10.4091
687.3312	10.409
687.6057	10.409
687.8801	10.4089
688.1548	10.4088
688.4293	10.4088
688.7038	10.4087
688.9783	10.4086
688.9798	10.4642
689.2559	10.5197
689.5304	10.5196
689.8049	10.5194
690.0795	10.5194
690.3555	10.575
690.63	10.5749
690.9045	10.5748
691.1791	10.5748
691.4536	10.5747
691.7296	10.6301
692.0041	10.6301
692.2787	10.63
692.5532	10.63
692.8277	10.6299
693.1037	10.6854
693.3783	10.6853
693.6543	10.7408
693.9287	10.7408
694.2033	10.7407
694.4779	10.7406
694.7539	10.7961
695.0284	10.796
695.3045	10.8515
695.579	10.8515
695.8535	10.8514
696.128	10.8513
696.4041	10.9068
696.6785	10.9068
696.9546	10.9622
697.2292	10.9622
697.5037	10.9621
697.7782	10.962
698.0542	11.0175
698.3288	11.0175
698.6048	11.073
698.8793	11.0729
699.1539	11.0728
699.4299	11.1283
