Period	Age	appx_Ma	Formation	Basin	No	C27	C27_sd	C28	C28_sd	C29	C29_sd	S_H	S_H_sd	ipc_npc	ipc_npc_sd	Lithology	Reference
Ediacaran	~635 Ma at base	635	Masirah Bay Fm	Nafun Group, South Oman Salt Basin, Oman	5	NA	NA	NA	NA	NA	NA	0.7	0.091	4.9	5.7	Bitumen from shales, limestone, dolostone and sandstone in open, shallow marine conditions	22
Ediacaran	Vendian-Cambrian	545	Tetere	Nepa-Botuoba basin, Russia	3	15	0.99	14	0.51	71	1.5	1.8	0	0.65	0	Oil from dolomite - Shallow marine to restricted depositional setting	23
Ediacaran	Vendian	575	Katanga	Nepa-Botuoba basin, Russia	1	13	0	12	0	74	0	1.1	0	NA	NA	Oil from dolomite, clayey dolomite and dolomitic marl - shallow marine to restricted depositional setting	23
Ediacaran	Vendian	570	Byuk	Nepa-Botuoba basin, Russia	2	14	0.14	13	0.41	73	0.57	0.81	0.015	NA	NA	Oil from dolomite, dolomitic marl and anhydrite - continental shelf depositional setting	23
Ediacaran	Vendian	575	Parshino	Nepa-Botuoba basin, Russia	1	12	0	13	0	75	0	1.2	0	NA	NA	Oil from siltstone and sandstone - continental shelf depositional setting	23
Ediacaran	Vendian	570	Nepa	Katanga Basin, Russia	2	13	0.16	13	0.28	74	0.12	1.7	0.49	NA	NA	Oil from siltstone and sandstone - continental shelf depositional setting	23
Ediacaran	Vendian	575	Kursov	Katanga Basin, Russia	1	13	0	12	0	75	0	0.86	0	NA	NA	Oil from siltstone and sandstone - shallow marine	23
Ediacaran	Vendian	580	Vanavara Group	Katanga Basin, Russia	4	12	0.45	12	0.52	76	0.58	0.65	0.14	NA	NA	Oil from shale, dolomite and sandstone, marine to shallow marine depositional setting	23
Ediacaran	635 Ma	635	Araras Group, Mirassol d Oeste Formation	Amazon craton, Brazil	6	100	0	0	0	0	0	NA	NA	NA	NA	Migrated oil in Marinoan cap carbonate, presumably self-sourced from earliest Ediacaran sediments	26
late Cryogenian	>640	650	Ghadir Manquil Fm	Abu Mahara Group, South Oman Salt Basin	1	20	0	14	0	66	0	0.68	0	1.3	0	Kerogen hydropyrolysate from lime mudstone below the Marinoan cap carbonate	22
late Cryogenian	NA	650	Ghadir Manquil Fm	Abu Mahara Group, South Oman Salt Basin	1	NA	NA	NA	NA	NA	NA	0.9	0	3.3	0	Bitumen from lime mudstone below the Marinoan cap carbonate 	22
