Species	Status	min_age	max_age
Eospongia	extinct	449.5	460.9
Eospongia	extinct	449.5	460.9
Eospongia	extinct	449.5	460.9
Eospongia	extinct	449.5	460.9
Eospongia	extinct	449.5	460.9
Eospongia	extinct	449.5	460.9
Eospongia_roemeri	extinct	449.5	460.9
Eospongia_roemeri	extinct	449.5	460.9
Eospongia_roemeri	extinct	449.5	460.9
Eospongia_roemeri	extinct	449.5	460.9
Eospongia_roemeri	extinct	449.5	460.9
Eospongia_roemeri	extinct	449.5	460.9
Eospongia_roemeri	extinct	449.5	460.9
Eospongia_roemeri	extinct	449.5	460.9
Eospongia_roemeri	extinct	449.5	460.9
Eospongia_roemeri	extinct	449.5	460.9
Eospongia	extinct	449.5	460.9
Eospongia	extinct	449.5	460.9
Eospongia	extinct	449.5	460.9
Eospongia	extinct	449.5	460.9
Eospongia	extinct	449.5	460.9
Eospongia	extinct	449.5	460.9
Eospongia	extinct	449.5	460.9
Eospongia	extinct	449.5	460.9
Eospongia	extinct	449.5	460.9
Eospongia	extinct	449.5	460.9
Eospongia	extinct	449.5	460.9
Eospongia	extinct	449.5	460.9
Eospongia	extinct	449.5	460.9
Eospongia	extinct	449.5	460.9
Stromatomorpha	extinct	205.6	212
Stromatomorpha	extinct	205.6	212
Cnemidiastrum	extinct	150.8	155.7
Cylindrophyma_milleporata	extinct	150.8	155.7
Hyalotragos_pezizoides	extinct	150.8	155.7
Hyalotragos	extinct	150.8	155.7
Hyalotragos	extinct	150.8	155.7
Platychonia	extinct	150.8	155.7
Lecanella_pateraeformis	extinct	150.8	155.7
Pachycothon	extinct	150.8	155.7
Coscinodiscus	extinct	5.333	7.246
Coscinodiscus	extinct	5.333	7.246
Stromatomorpha	extinct	212	215.56
Stromatomorpha_californica	extinct	205.6	212
Stromatomorpha	extinct	205.6	212
Stromatomorpha_stylifera	extinct	205.6	212
Stromatomorpha	extinct	205.6	212
Stromatomorpha	extinct	232	235
Stromatomorpha	extinct	212	215.56
Stromatomorpha_stylifera	extinct	201.3	228
Stromatomorpha	extinct	201.3	228
Stromatomorpha	extinct	201.3	228
Stromatomorpha	extinct	201.3	228
Stromatomorpha	extinct	201.3	208.5
Stromatomorpha	extinct	201.3	208.5
Stromatomorpha_stylifera	extinct	205.6	212
Platychonia	extinct	164.7	167.7
Stromatomorpha	extinct	208.5	228
Benacia_princeps	extinct	174.1	190.8
Stromatomorpha	extinct	208.5	228
Stromatomorpha	extinct	205.6	212
Stromatomorpha_stylifera	extinct	205.6	212
Stromatomorpha	extinct	205.6	212
Stromatomorpha	extinct	201.3	208.5
Stromatomorpha_stylifera	extinct	201.3	208.5
Stromatomorpha	extinct	201.3	208.5
Stromatomorpha_stylifera	extinct	201.3	208.5
Haplistion_sphaericum	extinct	307	315.2
Lithistida	extinct	279.3	290.1
Haplistion	extinct	315.2	323.2
Haplistion	extinct	307	315.2
Defordia_digitata	extinct	272.3	279.3
Defordia_verrucula	extinct	272.3	279.3
Defordia_foliata	extinct	272.3	279.3
Jereina_robusta	extinct	272.3	279.3
Defordia_foliata	extinct	272.3	279.3
Jereina_robusta	extinct	272.3	279.3
Jereina_robusta	extinct	272.3	279.3
Collatipora	extinct	272.3	279.3
Coscinodiscus	extinct	41.3	47.8
Coscinodiscus	extinct	41.3	47.8
Coscinodiscus	extinct	41.3	47.8
Coscinodiscus	extinct	41.3	47.8
Coscinodiscus	extinct	41.3	47.8
Coscinodiscus	extinct	41.3	47.8
Coscinodiscus	extinct	41.3	47.8
Coscinodiscus	extinct	41.3	47.8
Coscinodiscus	extinct	41.3	47.8
Coscinodiscus	extinct	41.3	47.8
Coscinodiscus	extinct	41.3	47.8
Nematinion	extinct	47.8	56
Nematinion_saudiensis	extinct	47.8	56
Collatipora_delicata	extinct	295.5	298.9
Haplistion_megalochetus	extinct	295.5	298.9
Haplistion_megalochetus	extinct	295.5	298.9
Haplistion_megalochetus	extinct	295.5	298.9
Haplistion_megalochetus	extinct	295.5	298.9
Defordia_defuncta	extinct	272.3	279.3
Actinocoelia_verrucosa	extinct	272.3	279.3
Collatipora_discreta	extinct	272.3	279.3
Defordia_defuncta	extinct	272.3	279.3
Actinocoelia_verrucosa	extinct	272.3	279.3
Defordia_defuncta	extinct	272.3	279.3
Actinocoelia_verrucosa	extinct	272.3	279.3
Jereina_cylindrica	extinct	272.3	279.3
Collatipora_pyriformis	extinct	272.3	279.3
Haplistion_aeluroglossa	extinct	272.3	279.3
Insulipora_elegans	extinct	272.3	279.3
Defordia_defuncta	extinct	272.3	279.3
Collatipora_delicata	extinct	272.3	279.3
Haplistion_megalochetus	extinct	272.3	279.3
Collatipora_discreta	extinct	268.8	272.3
Jereina_ramosa	extinct	268.8	272.3
Defordia_lobata	extinct	272.3	279.3
Anthracosycon_regulare	extinct	272.3	279.3
Insulipora_elegans	extinct	272.3	279.3
Defordia_densa	extinct	272.3	279.3
Defordia	extinct	272.3	279.3
Anthracosycon_regulare	extinct	272.3	279.3
Gallatinospongia_conica	extinct	485.4	501
Gallatinospongia_conica	extinct	485.4	501
Gallatinospongia_conica	extinct	485.4	501
Anthaspidellidae	extinct	457.5	466
Hudsonospongia	extinct	460.9	468.1
Anthaspidella	extinct	460.9	468.1
Archaeoscyphia	extinct	460.9	468.1
Eospongia	extinct	460.9	468.1
Zittelella	extinct	457.5	466
Gillettia	extinct	132.9	139.8
Lithistida	extinct	155.7	161.2
Corallistes	extinct	53	55.8
Mastostroma_punctiformis	extinct	265.1	268.8
Archaeoscyphia_annulata	extinct	468.1	485.4
Archaeoscyphia	extinct	468.1	485.4
Anthaspidellidae	extinct	501	513
Radiocella_prima	extinct	205.6	212
Stromatomorpha	extinct	232	235
Stromatomorpha	extinct	208.5	228
Platychonia_schlotheimi	extinct	155.7	161.2
Cnemidiastrum_stellatum	extinct	155.7	161.2
Cnemopeltia_rimulosum	extinct	155.7	161.2
Hyalotragos_patella	extinct	155.7	161.2
Hyalotragos_pezizoides	extinct	155.7	161.2
Pyrgochonia_radiata	extinct	155.7	161.2
Reiswigia_ramosa	extinct	155.7	161.2
Platychonia_schlotheimi	extinct	155.7	161.2
Cnemidiastrum_stellatum	extinct	155.7	161.2
Hyalotragos_patella	extinct	155.7	161.2
Hyalotragos_pezizoides	extinct	155.7	161.2
Leiodorella	extinct	155.7	161.2
Platychonia_schlotheimi	extinct	155.7	161.2
Hyalotragos_patella	extinct	155.7	161.2
Hyalotragos_pezizoides	extinct	155.7	161.2
Cylindrophyma_milleporata	extinct	155.7	161.2
Platychonia_schlotheimi	extinct	155.7	161.2
Cnemidiastrum_stellatum	extinct	155.7	161.2
Cnemopeltia_rimulosum	extinct	155.7	161.2
Hyalotragos_patella	extinct	155.7	161.2
Hyalotragos_pezizoides	extinct	155.7	161.2
Leiodorella	extinct	155.7	161.2
Cylindrophyma_milleporata	extinct	155.7	161.2
Platychonia_schlotheimi	extinct	155.7	161.2
Cnemopeltia_rimulosum	extinct	155.7	161.2
Hyalotragos_patella	extinct	155.7	161.2
Hyalotragos_pezizoides	extinct	155.7	161.2
Jereica	extinct	155.7	161.2
Bothrolemma	extinct	155.7	161.2
Rhizomorina	extinct	155.7	161.2
Cylindrophyma_milleporata	extinct	155.7	161.2
Platychonia_schlotheimi	extinct	155.7	161.2
Cnemidiastrum_stellatum	extinct	155.7	161.2
Cnemopeltia_rimulosum	extinct	155.7	161.2
Hyalotragos_patella	extinct	155.7	161.2
Hyalotragos_pezizoides	extinct	155.7	161.2
Pyrgochonia_radiata	extinct	155.7	161.2
Cylindrophyma_milleporata	extinct	155.7	161.2
Lecanella	extinct	155.7	161.2
Platychonia_schlotheimi	extinct	155.7	161.2
Cnemidiastrum_stellatum	extinct	155.7	161.2
Hyalotragos_pezizoides	extinct	155.7	161.2
Cylindrophyma_milleporata	extinct	155.7	161.2
Platychonia_schlotheimi	extinct	155.7	161.2
Hyalotragos_patella	extinct	155.7	161.2
Hyalotragos_pezizoides	extinct	155.7	161.2
Platychonia_schlotheimi	extinct	155.7	161.2
Platychonia_schlotheimi	extinct	155.7	161.2
Hyalotragos_pezizoides	extinct	155.7	161.2
Bothrolemma	extinct	155.7	161.2
Platychonia_schlotheimi	extinct	155.7	161.2
Cnemopeltia_rimulosum	extinct	155.7	161.2
Hyalotragos_patella	extinct	155.7	161.2
Hyalotragos_pezizoides	extinct	155.7	161.2
Pyrgochonia_radiata	extinct	155.7	161.2
Platychonia_schlotheimi	extinct	155.7	161.2
Hyalotragos_patella	extinct	155.7	161.2
Hyalotragos_pezizoides	extinct	155.7	161.2
Pyrgochonia_radiata	extinct	155.7	161.2
Platychonia_schlotheimi	extinct	155.7	161.2
Cnemopeltia_rimulosum	extinct	155.7	161.2
Hyalotragos_patella	extinct	155.7	161.2
Hyalotragos_pezizoides	extinct	155.7	161.2
Pyrgochonia_radiata	extinct	155.7	161.2
Leiodorella	extinct	155.7	161.2
Cylindrophyma_milleporata	extinct	155.7	161.2
Platychonia_schlotheimi	extinct	155.7	161.2
Cnemidiastrum_stellatum	extinct	155.7	161.2
Cnemopeltia_rimulosum	extinct	155.7	161.2
Hyalotragos_patella	extinct	155.7	161.2
Hyalotragos_pezizoides	extinct	155.7	161.2
Pyrgochonia_radiata	extinct	155.7	161.2
Cylindrophyma_milleporata	extinct	155.7	161.2
Platychonia_schlotheimi	extinct	155.7	161.2
Hyalotragos_patella	extinct	155.7	161.2
Hyalotragos_pezizoides	extinct	155.7	161.2
Cylindrophyma_milleporata	extinct	155.7	161.2
Melonella_radiata	extinct	155.7	161.2
Platychonia_schlotheimi	extinct	155.7	161.2
Cnemidiastrum_stellatum	extinct	155.7	161.2
Hyalotragos_patella	extinct	155.7	161.2
Hyalotragos_pezizoides	extinct	155.7	161.2
Hyalospongia	extinct	155.7	161.2
Cylindrophyma_milleporata	extinct	155.7	161.2
Platychonia_schlotheimi	extinct	155.7	161.2
Cnemidiastrum_stellatum	extinct	155.7	161.2
Cnemopeltia_rimulosum	extinct	155.7	161.2
Hyalotragos_patella	extinct	155.7	161.2
Hyalotragos_pezizoides	extinct	155.7	161.2
Rhizomorina	extinct	155.7	161.2
Platychonia_schlotheimi	extinct	155.7	161.2
Cnemidiastrum_stellatum	extinct	155.7	161.2
Cnemopeltia_rimulosum	extinct	155.7	161.2
Hyalotragos_patella	extinct	155.7	161.2
Leiodorella	extinct	155.7	161.2
Cylindrophyma_milleporata	extinct	155.7	161.2
Phlyctia_expansa	extinct	38	41.3
Bolidium_arbustum	extinct	83.6	86.3
Homalodoriana_tuberosa	extinct	83.6	86.3
Pachypoterion_biedai	extinct	83.6	86.3
Siphonia	extinct	83.6	86.3
Phyllodermia	extinct	83.6	86.3
Anthaspidella_lamellata	extinct	477.7	485.4
Rhopalocoelia	extinct	477.7	485.4
Velellospongia	extinct	477.7	485.4
Archaeoscyphia_minganensis	extinct	477.7	485.4
Archaeoscyphia_pulchra	extinct	477.7	485.4
Archaeoscyphia_nana	extinct	477.7	485.4
Jianghania	extinct	477.7	485.4
Devonoscyphia_sanctacrucensis	extinct	376.1	379.5
Devonoscyphia_regulara	extinct	376.1	379.5
Jazwicella_media	extinct	376.1	379.5
Astyloscyphia_irregularia	extinct	376.1	379.5
Astyloscyphia_turbinata	extinct	376.1	379.5
Astylotuba_modica	extinct	376.1	379.5
Devonoscyphia_regulara	extinct	376.1	379.5
Astyloscyphia_turbinata	extinct	376.1	379.5
Theonella	extinct	23.03	33.9
Lerouxia	extinct	23.03	33.9
Chenendopora	extinct	23.03	33.9
Plinthosella	extinct	23.03	33.9
Haplistion_aeluroglossa	extinct	265.1	268.8
Anthaspidellidae	extinct	265.1	268.8
Zittelella	extinct	457.5	466
Anthaspidella	extinct	457.5	466
Zittelella	extinct	471.8	478.6
Zittelella	extinct	471.8	478.6
Haplistion	extinct	387.7	393.3
Amphithelion_macrommata	extinct	70.6	83.5
Aulaxinia_sulcifera	extinct	70.6	83.5
Amphithelion_macrommata	extinct	70.6	83.5
Stichophyma_multiformis	extinct	70.6	83.5
Verruculina	extinct	70.6	83.5
Amphithelion_macrommata	extinct	70.6	83.5
Verruculina_tenuis	extinct	70.6	83.5
Verruculina	extinct	70.6	83.5
Amphithelion_macrommata	extinct	70.6	83.5
Aulaxinia_sulcifera	extinct	70.6	83.5
Stichophyma_multiformis	extinct	70.6	83.5
Verruculina_tenuis	extinct	70.6	83.5
Callopegma_acaule	extinct	70.6	83.5
Verruculina_tenuis	extinct	70.6	83.5
Seliscothon	extinct	70.6	83.5
Callopegma_acaule	extinct	70.6	83.5
Aulaxinia_sulcifera	extinct	70.6	83.5
Callopegma_acaule	extinct	70.6	83.5
Aulaxinia_sulcifera	extinct	70.6	83.5
Plinthosella_squamosa	extinct	70.6	83.5
Stichophyma_multiformis	extinct	70.6	83.5
Lithistida	extinct	336	339.4
Anthaspidella_amplia	extinct	468.1	478.6
Archaeocyphia	extinct	457.5	466
Hudsonospongia_minganensis	extinct	457.5	466
Hudsonospongia_irregularis	extinct	457.5	466
Hudsonospongia_duplicata	extinct	457.5	466
Zittelella_varians	extinct	457.5	466
Psarodictyum_magnificum	extinct	457.5	466
Lissocoelia_ramosa	extinct	457.5	466
Eospongia_roemeri	extinct	457.5	466
Anthaspidella_amplia	extinct	457.5	466
Hudsonospongia_minganensis	extinct	457.5	466
Hudsonospongia_irregularis	extinct	457.5	466
Hudsonospongia_duplicata	extinct	457.5	466
Zittelella_varians	extinct	457.5	466
Psarodictyum_magnificum	extinct	457.5	466
Lissocoelia_ramosa	extinct	457.5	466
Anthaspidella_amplia	extinct	457.5	466
Hudsonospongia_minganensis	extinct	457.5	466
Hudsonospongia_irregularis	extinct	457.5	466
Zittelella_varians	extinct	457.5	466
Zittelella_grossa	extinct	457.5	466
Psarodictyum_magnificum	extinct	457.5	466
Rhopalocoelia_clarkii	extinct	457.5	466
Anthaspidella_amplia	extinct	457.5	466
Archaeoscyphia_pulchra	extinct	457.5	466
Archaeoscyphia_undulata	extinct	457.5	466
