Ma	PAL
402.724	0.1345
402.297	0.1368
401.873	0.1368
401.446	0.139
401.0219	0.139
400.5977	0.139
400.1709	0.1412
399.7439	0.1435
399.3169	0.1458
399.314	0.148
398.887	0.1503
398.46	0.1526
398.4571	0.1548
398.0302	0.1571
397.6032	0.1594
397.1762	0.1616
396.7492	0.1639
396.3223	0.1662
396.3193	0.1684
395.8953	0.1684
395.8923	0.1707
395.4683	0.1707
395.0413	0.1729
394.6143	0.1752
394.1874	0.1775
394.1844	0.1797
393.7574	0.182
393.3305	0.1843
393.3276	0.1865
392.9005	0.1888
392.4736	0.1911
392.0467	0.1933
391.6197	0.1956
391.1927	0.1979
390.7657	0.2001
390.3388	0.2024
389.9146	0.2024
389.4906	0.2023
389.4877	0.2046
389.0636	0.2046
389.0607	0.2069
388.6367	0.2069
388.2126	0.2068
387.7856	0.2091
387.3586	0.2114
387.3557	0.2136
386.9317	0.2136
386.9287	0.2159
386.5018	0.2182
386.0748	0.2204
385.6478	0.2227
385.2208	0.225
384.7939	0.2272
384.3669	0.2295
383.9399	0.2317
383.937	0.234
383.51	0.2363
383.083	0.2385
382.6561	0.2408
382.6532	0.2431
382.2262	0.2453
381.7992	0.2476
381.3721	0.2499
381.3693	0.2522
380.9423	0.2544
380.5154	0.2567
380.0884	0.2589
380.0855	0.2612
379.6585	0.2635
379.6556	0.2658
379.2286	0.268
379.2257	0.2703
378.7987	0.2726
378.7957	0.2749
378.3689	0.2771
377.9419	0.2793
377.5149	0.2816
377.512	0.2839
377.0879	0.2839
377.085	0.2862
377.0821	0.2885
376.6551	0.2907
376.2282	0.293
376.2253	0.2953
375.7983	0.2974
375.7953	0.2998
375.3684	0.3021
375.3655	0.3044
375.3626	0.3066
374.9356	0.3089
374.9327	0.3112
374.5057	0.3135
374.0788	0.3157
374.0759	0.318
373.6489	0.3203
373.646	0.3225
373.219	0.3248
373.2161	0.3271
373.2132	0.3294
372.7862	0.3316
372.7833	0.3338
372.3563	0.3362
372.3534	0.3385
371.9264	0.3407
371.9235	0.343
371.9205	0.3453
371.4937	0.3475
371.4908	0.3498
371.0638	0.3521
371.0609	0.3544
371.058	0.3567
371.0551	0.3589
370.628	0.3612
370.2011	0.3635
370.1982	0.3657
370.1953	0.3679
369.7683	0.3703
369.7654	0.3726
369.7625	0.3749
369.3355	0.3771
369.3326	0.3794
369.3296	0.3817
369.3268	0.384
369.3239	0.3862
368.8969	0.3885
368.894	0.3908
368.8911	0.3931
368.4641	0.3953
368.4612	0.3976
368.4583	0.3999
368.0314	0.4022
368.0285	0.4043
368.0256	0.4067
368.0226	0.409
367.5957	0.4113
367.5928	0.4136
367.5899	0.4158
367.587	0.4181
367.584	0.4203
367.1571	0.4227
366.7301	0.4249
366.7271	0.4272
366.7243	0.4295
366.7214	0.4318
366.7185	0.4341
366.2915	0.4363
366.2886	0.4386
366.2857	0.4409
365.8587	0.4432
365.8558	0.4454
365.8529	0.4477
365.85	0.45
365.8471	0.4523
365.8441	0.4546
365.4172	0.4567
365.4143	0.4591
364.9872	0.4614
364.9844	0.4637
364.9815	0.4659
364.5545	0.4682
364.5516	0.4705
364.5487	0.4727
364.1218	0.475
364.1189	0.4773
364.1159	0.4796
364.113	0.4819
363.6861	0.4841
363.6832	0.4864
363.6803	0.4887
363.2533	0.491
363.2504	0.4932
362.8234	0.4955
362.8205	0.4978
362.8176	0.5001
362.3906	0.5023
362.3877	0.5046
362.3848	0.5069
361.9578	0.5091
361.9548	0.5114
361.952	0.5137
361.525	0.516
361.5221	0.5183
361.0952	0.5205
361.0923	0.5228
360.6653	0.5251
360.6623	0.5274
360.6595	0.5295
360.2325	0.5319
360.2296	0.5342
359.8026	0.5365
359.7997	0.5387
359.7968	0.541
359.3698	0.5433
359.3669	0.5455
358.9399	0.5478
358.937	0.5501
358.9341	0.5524
358.9312	0.5547
358.5042	0.5569
358.5013	0.5592
358.4984	0.5615
358.4955	0.5638
358.4926	0.5661
358.4897	0.5683
358.0627	0.5706
358.0598	0.5729
358.0569	0.5752
357.63	0.5774
357.6271	0.5796
357.624	0.5819
357.1972	0.5843
357.1943	0.5865
356.7673	0.5888
356.7644	0.5911
356.7614	0.5934
356.3345	0.5956
356.3316	0.5979
355.9045	0.6002
355.9017	0.6025
355.8988	0.6047
355.8959	0.607
355.893	0.6093
355.8901	0.6116
355.4631	0.6139
355.4602	0.616
355.0332	0.6183
355.0303	0.6207
355.0274	0.623
355.0245	0.6253
354.5975	0.6275
354.5946	0.6298
354.5917	0.632
354.1648	0.6343
354.1619	0.6366
353.7349	0.6389
353.732	0.6412
353.305	0.6434
353.3021	0.6457
352.8751	0.648
352.8721	0.6503
352.8693	0.6524
352.4423	0.6548
352.4394	0.6571
352.4365	0.6594
352.4336	0.6617
352.0066	0.6639
352.0037	0.6662
352.0008	0.6684
351.5737	0.6707
351.1469	0.673
351.144	0.6753
351.1411	0.6776
350.7141	0.6798
350.7112	0.6821
350.2842	0.6844
350.2812	0.6867
350.2784	0.6888
349.8514	0.6912
349.8485	0.6935
349.4215	0.6957
349.4186	0.698
349.4157	0.7003
349.4128	0.7026
349.4099	0.7048
348.9828	0.7071
348.98	0.7094
348.9771	0.7117
348.5502	0.714
348.5472	0.7162
348.5443	0.7185
348.5413	0.7208
348.1145	0.7231
348.1116	0.7254
348.1086	0.7276
347.6817	0.7299
347.6787	0.7322
347.6759	0.7345
347.2489	0.7367
347.246	0.7389
347.2431	0.7412
347.2402	0.7436
346.8132	0.7458
346.8103	0.7481
346.3833	0.7504
346.3804	0.7527
346.3775	0.755
346.3746	0.7572
346.3717	0.7595
346.3688	0.7618
346.3659	0.7641
346.363	0.7664
346.3601	0.7686
346.3572	0.7709
346.3543	0.7732
346.3514	0.7755
345.9243	0.7778
345.9215	0.78
345.9186	0.7823
345.9157	0.7846
345.9127	0.7869
345.9099	0.7892
345.907	0.7915
345.9041	0.7936
345.4771	0.796
345.4742	0.7983
345.4713	0.8006
345.4684	0.8029
345.4655	0.8051
345.4626	0.8074
345.4596	0.8096
345.4567	0.812
345.0298	0.8142
345.0269	0.8165
344.6028	0.8165
344.5998	0.8188
344.597	0.8211
344.5941	0.8234
344.5912	0.8256
344.5883	0.8279
344.5854	0.8302
344.5825	0.8325
344.5795	0.8348
344.5766	0.8371
344.5737	0.8393
344.5708	0.8416
344.5678	0.8439
344.141	0.8462
344.138	0.8484
344.1351	0.8507
344.1322	0.853
344.1293	0.8553
344.1264	0.8576
343.6995	0.8598
343.6965	0.862
343.6936	0.8643
343.6907	0.8667
343.6878	0.869
343.2609	0.8712
343.258	0.8735
343.255	0.8758
343.2521	0.878
343.2492	0.8803
343.2463	0.8826
342.8194	0.8849
342.8165	0.8872
342.8135	0.8895
342.8106	0.8918
342.8077	0.894
342.8048	0.8963
342.8018	0.8986
342.799	0.9009
342.7961	0.9032
342.7932	0.9055
342.7903	0.9077
342.7873	0.91
342.3633	0.91
341.9393	0.91
341.9364	0.9123
342.3575	0.9146
342.3546	0.9167
342.3517	0.9191
342.3488	0.9214
342.3458	0.9237
342.343	0.926
342.3401	0.9283
342.3372	0.9304
342.3343	0.9327
342.3314	0.9351
342.3285	0.9374
341.9015	0.9397
341.8986	0.9419
341.8957	0.9442
341.8928	0.9465
341.8899	0.9487
341.887	0.951
341.46	0.9533
341.4571	0.9556
341.4542	0.9579
341.4513	0.9602
341.4484	0.9625
341.4455	0.9647
341.4426	0.967
341.4397	0.9693
341.4368	0.9716
341.4339	0.9739
341.431	0.9762
341.428	0.9784
341.4251	0.9807
341.4222	0.983
341.4193	0.9853
340.9924	0.9876
340.9895	0.9898
340.9865	0.9921
340.5596	0.9944
340.5567	0.9967
340.5537	0.9989
340.5509	1.0012
340.548	1.0035
340.545	1.0058
340.5421	1.0081
340.5392	1.0104
340.5363	1.0126
340.1094	1.0149
340.1065	1.0172
340.1035	1.0195
340.1006	1.0218
340.0977	1.024
340.0948	1.0263
339.6679	1.0286
339.665	1.0309
339.662	1.0332
339.6591	1.0354
339.6562	1.0377
339.6533	1.04
339.6503	1.0423
339.2235	1.0445
339.2205	1.0468
339.2176	1.0491
338.7907	1.0514
338.7877	1.0537
338.7849	1.0559
338.782	1.0582
338.779	1.0605
338.7761	1.0628
338.7732	1.0651
338.3463	1.0673
338.3434	1.0695
338.3405	1.0719
338.3375	1.0742
338.3346	1.0765
338.3317	1.0787
338.7529	1.0811
338.75	1.0833
338.7471	1.0856
338.3201	1.0879
338.3172	1.0902
338.3143	1.0924
338.3114	1.0947
337.8843	1.097
337.8815	1.0993
337.8786	1.1016
337.8757	1.1038
337.8728	1.1061
337.8699	1.1084
337.867	1.1107
337.44	1.1129
337.4371	1.1152
337.4342	1.1175
337.4313	1.1198
337.4284	1.1221
337.0014	1.1243
336.9985	1.1266
336.9956	1.1289
336.9927	1.1312
336.5657	1.1335
336.5628	1.1357
336.5598	1.138
336.557	1.1403
336.5541	1.1426
336.1271	1.1448
336.1242	1.1471
336.1213	1.1494
336.1184	1.1517
336.1155	1.154
336.1126	1.1562
336.1097	1.1585
336.1068	1.1608
336.1039	1.1631
336.101	1.1654
335.674	1.1677
335.6711	1.1699
335.6682	1.1722
335.6653	1.1745
335.6623	1.1768
335.6595	1.1791
335.2325	1.1813
335.2296	1.1836
335.2267	1.1859
335.2238	1.1882
334.7968	1.1904
334.7939	1.1927
334.791	1.195
334.7881	1.1973
334.7852	1.1996
334.7823	1.2019
334.7793	1.2041
334.7765	1.2064
334.3495	1.2086
334.3466	1.211
334.3437	1.2132
333.9167	1.2155
333.9138	1.2178
333.9109	1.2201
333.908	1.2224
333.9051	1.2246
333.4781	1.2269
333.4752	1.2292
333.4723	1.2315
333.4694	1.2338
333.4665	1.236
333.4636	1.2383
333.0366	1.2406
333.0337	1.2429
333.0308	1.2451
332.6038	1.2474
332.6009	1.2497
332.5979	1.252
332.1711	1.2542
332.1682	1.2565
332.1653	1.2588
332.1623	1.261
332.1594	1.2634
331.7325	1.2656
331.7296	1.2679
331.7267	1.2702
331.2997	1.2725
331.2968	1.2747
331.2939	1.277
330.8669	1.2793
330.8639	1.2816
330.8611	1.2838
330.8582	1.2861
330.4312	1.2884
330.4283	1.2907
330.0013	1.2929
329.9984	1.2952
329.9955	1.2974
329.9926	1.2998
329.9897	1.3021
329.5627	1.3043
329.5598	1.3066
329.5569	1.3089
329.1299	1.3112
329.127	1.3134
329.1241	1.3157
328.6971	1.318
328.6942	1.3203
328.6913	1.3226
328.6884	1.3248
328.2615	1.3271
328.2586	1.3294
328.2556	1.3317
327.8287	1.3338
327.8258	1.3362
327.8229	1.3385
327.3959	1.3408
327.393	1.343
327.3901	1.3453
327.3872	1.3476
326.9602	1.3498
326.9573	1.3521
326.9544	1.3544
326.5274	1.3567
326.5245	1.359
326.0975	1.3612
326.0946	1.3635
325.6676	1.3658
325.6646	1.3681
325.6618	1.3703
325.6589	1.3726
325.656	1.3749
325.229	1.3772
324.8021	1.3794
324.7992	1.3817
324.3721	1.384
324.3693	1.3862
324.3664	1.3885
323.9394	1.3908
323.9365	1.3931
323.5095	1.3953
323.5066	1.3976
323.0796	1.3999
323.0767	1.4022
322.6498	1.4043
322.6468	1.4067
322.2199	1.409
322.217	1.4113
321.79	1.4135
321.7871	1.4158
321.3601	1.4181
320.9331	1.4203
320.9302	1.4226
320.9273	1.4249
320.5003	1.4272
320.4974	1.4294
320.0705	1.4317
320.0676	1.434
319.6406	1.4362
319.2136	1.4385
319.2107	1.4408
318.7837	1.4431
318.7808	1.4453
318.3538	1.4476
318.3509	1.4499
318.3479	1.4522
317.9211	1.4544
317.9181	1.4567
317.4912	1.459
317.0642	1.4612
316.6372	1.4635
316.2102	1.4658
315.7833	1.468
315.3563	1.4703
314.9293	1.4725
314.5023	1.4748
314.4994	1.4771
314.0724	1.4793
313.6455	1.4816
313.2185	1.4839
312.7915	1.4861
312.3645	1.4884
311.9376	1.4907
311.5106	1.4929
311.0836	1.4952
310.6566	1.4974
310.2326	1.4974
309.8056	1.4997
309.8027	1.502
309.3786	1.5019
309.3757	1.5042
308.9487	1.5065
308.9458	1.5088
308.5217	1.5087
308.0948	1.511
307.6678	1.5133
307.6649	1.5156
307.2408	1.5154
307.2379	1.5178
307.2349	1.5201
306.8109	1.5201
306.3868	1.5201
305.9599	1.5223
305.5329	1.5246
305.1059	1.5268
304.6789	1.5291
304.252	1.5314
303.825	1.5335
303.398	1.5359
302.971	1.5381
302.5441	1.5404
302.1171	1.5427
301.6901	1.5449
301.2631	1.5472
300.839	1.5472
300.8361	1.5495
300.4121	1.5493
299.9851	1.5516
299.561	1.5516
299.134	1.5539
298.7071	1.5562
298.7042	1.5585
298.2772	1.5607
298.2743	1.563
297.8502	1.563
297.8473	1.5653
297.4232	1.5653
296.9962	1.5675
296.9933	1.5697
296.5693	1.5697
296.5664	1.5721
296.1423	1.572
296.1394	1.5743
295.7124	1.5766
295.2854	1.5789
295.2825	1.5811
294.8556	1.5834
294.4285	1.5857
294.0016	1.5878
293.9987	1.5901
293.5716	1.5925
293.1447	1.5947
293.1418	1.597
292.7149	1.5993
292.2879	1.6015
291.8609	1.6038
291.4339	1.6061
291.0069	1.6082
291.004	1.6106
290.58	1.6106
290.5771	1.6129
290.1501	1.6151
290.1472	1.6174
289.7231	1.6174
289.299	1.6174
288.8721	1.6196
288.8692	1.6219
288.4451	1.6219
288.4422	1.6242
288.0152	1.6263
287.5882	1.6287
287.5853	1.631
287.1612	1.631
286.7343	1.6332
286.7314	1.6355
286.3044	1.6378
285.8803	1.6377
285.4533	1.64
285.0293	1.64
284.6052	1.64
284.1811	1.6399
283.757	1.6399
283.333	1.6399
282.9118	1.6376
282.4906	1.6353
282.0666	1.6353
282.0695	1.633
282.0724	1.6307
281.6482	1.6307
281.6512	1.6284
281.6541	1.6261
281.657	1.6238
281.6599	1.6215
281.2387	1.6192
281.2417	1.617
281.2446	1.6147
280.8234	1.6124
280.8263	1.6101
280.8292	1.6078
280.8321	1.6055
280.4109	1.6032
280.4138	1.6009
280.4167	1.5986
280.4196	1.5964
279.9985	1.5941
280.0014	1.5918
280.0043	1.5895
280.0072	1.5872
279.5859	1.5849
279.5889	1.5826
279.5918	1.5803
279.5947	1.5781
279.1736	1.5758
279.1764	1.5735
279.1794	1.5712
278.7582	1.5689
278.761	1.5666
278.764	1.5643
278.7669	1.562
278.7698	1.5598
278.3487	1.5574
278.3516	1.5552
278.3545	1.5529
278.3574	1.5506
278.3603	1.5483
277.9391	1.546
277.942	1.5436
277.5208	1.5413
277.5238	1.5391
277.5267	1.5369
277.5295	1.5346
277.5325	1.5323
277.5354	1.53
277.5383	1.5276
277.1171	1.5253
277.12	1.5231
277.1229	1.5209
276.7017	1.5186
276.7046	1.5163
276.7076	1.514
276.2864	1.5117
276.2893	1.5093
276.2922	1.507
276.2951	1.5048
276.298	1.5026
275.8768	1.5002
275.8797	1.498
275.8826	1.4957
275.8856	1.4934
275.8885	1.491
275.4673	1.4888
275.4702	1.4865
275.4731	1.4842
275.0519	1.4819
275.0548	1.4797
275.0577	1.4774
275.0606	1.4751
275.0635	1.4727
274.6423	1.4705
274.6453	1.4682
274.6482	1.4659
274.6511	1.4637
274.654	1.4614
274.6569	1.4591
274.6598	1.4567
274.6627	1.4545
274.2415	1.4522
274.2444	1.4499
274.2474	1.4477
273.8262	1.4453
273.8291	1.4431
273.8319	1.4408
273.4108	1.4385
273.4137	1.4362
273.4166	1.4339
272.9955	1.4316
272.9984	1.4293
273.0013	1.427
272.58	1.4247
272.583	1.4224
272.5859	1.4202
272.1647	1.4179
272.1677	1.4156
272.1706	1.4133
271.7494	1.411
271.7523	1.4087
271.7551	1.4064
271.334	1.4041
271.3369	1.4018
270.9158	1.3995
270.9186	1.3973
270.4975	1.395
270.5004	1.3927
270.0792	1.3904
270.0821	1.3881
270.085	1.3858
269.6639	1.3835
269.6667	1.3812
269.6697	1.3789
269.2485	1.3766
269.2514	1.3743
268.8303	1.3719
268.8332	1.3698
268.412	1.3674
268.4149	1.3652
267.9937	1.3629
267.9966	1.3606
267.5755	1.3583
267.1543	1.3559
267.1572	1.3537
266.736	1.3514
266.3149	1.3491
266.3178	1.3468
265.8965	1.3445
265.4754	1.3422
265.0543	1.3399
264.6331	1.3376
264.636	1.3353
264.2147	1.333
263.7936	1.3307
263.3725	1.3284
263.3754	1.3261
262.9513	1.3261
262.5302	1.3237
262.109	1.3215
261.6878	1.3192
261.2667	1.3169
260.8455	1.3146
260.4243	1.3123
260.0002	1.3122
259.5762	1.3122
259.1521	1.3122
258.728	1.3122
258.3069	1.3099
257.8828	1.3098
257.4616	1.3075
257.0375	1.3075
256.6135	1.3075
256.1894	1.3075
255.7652	1.3074
255.3413	1.3074
254.9172	1.3074
254.4931	1.3074
254.069	1.3074
253.645	1.3073
253.2209	1.3073
252.7968	1.3073
252.3727	1.3073
251.9487	1.3073
251.5246	1.3072
251.0976	1.3094
250.6735	1.3094
250.2495	1.3094
249.8225	1.3117
249.3984	1.3117
248.9744	1.3117
248.5503	1.3117
248.1262	1.3115
247.6992	1.3139
247.2752	1.3139
246.8511	1.3138
246.427	1.3138
246.0029	1.3138
245.5789	1.3138
245.1548	1.3138
244.7307	1.3136
244.3094	1.3114
243.8883	1.3091
243.4672	1.3068
243.4701	1.3045
243.0489	1.3022
243.0519	1.3
243.0548	1.2977
242.6336	1.2953
242.2124	1.2931
241.7913	1.2908
241.7942	1.2885
241.373	1.2862
241.3759	1.2839
241.3788	1.2816
241.3817	1.2793
240.9605	1.277
240.9634	1.2747
240.5423	1.2724
240.5452	1.2702
240.5481	1.2679
240.1269	1.2656
240.1298	1.2633
239.7086	1.261
239.7116	1.2587
239.2904	1.2564
239.2933	1.2541
238.8721	1.2518
238.451	1.2495
238.4539	1.2472
238.0327	1.2449
238.0356	1.2426
237.6143	1.2403
237.6173	1.238
237.1962	1.2357
236.775	1.2334
236.3538	1.2311
236.3567	1.2288
235.9356	1.2265
235.5144	1.2242
235.0932	1.2219
234.6721	1.2196
234.2509	1.2173
234.2538	1.215
233.8326	1.2127
233.4115	1.2104
232.9903	1.2081
232.5691	1.2058
232.572	1.2035
232.1509	1.2012
231.7297	1.1989
231.3085	1.1966
231.3114	1.1943
230.8902	1.192
230.4691	1.1897
230.472	1.1874
230.0508	1.1851
229.6297	1.1828
229.2085	1.1804
229.2114	1.1783
228.7902	1.1759
228.3691	1.1736
227.9479	1.1713
227.9508	1.1691
227.5295	1.1668
227.1085	1.1644
227.1114	1.1622
226.6902	1.1599
226.269	1.1576
225.845	1.1575
225.4238	1.1552
224.9997	1.1552
224.5785	1.1529
224.1545	1.1529
223.7304	1.1529
223.7332	1.1506
223.3092	1.1506
222.8852	1.1505
222.464	1.1482
222.0399	1.1482
221.6158	1.1482
221.1918	1.1482
220.7677	1.1481
220.3436	1.1481
219.9195	1.1481
219.4955	1.1481
219.0714	1.1481
218.6473	1.148
218.2233	1.148
217.7992	1.148
217.3751	1.148
216.951	1.148
216.527	1.1479
216.1029	1.1479
215.6787	1.1479
215.2547	1.1479
214.8307	1.1478
214.4066	1.1478
213.9825	1.1478
213.5585	1.1478
213.1344	1.1478
212.7103	1.1477
212.2862	1.1477
211.8622	1.1477
211.4381	1.1477
211.0111	1.1499
210.587	1.1499
210.163	1.1499
209.7389	1.1499
209.3148	1.1498
208.8908	1.1498
208.4667	1.1498
208.0426	1.1498
207.6185	1.1498
207.1945	1.1497
