Ma	PAL
405.1377	0.2374
404.7137	0.2374
404.2896	0.2373
403.8626	0.2396
403.4385	0.2396
403.0116	0.2418
402.5875	0.2418
402.1634	0.2418
401.7364	0.2441
401.3094	0.2463
400.8824	0.2486
400.4584	0.2486
400.0343	0.2485
399.6074	0.2508
399.1833	0.2508
398.7563	0.253
398.3293	0.2553
397.9024	0.2576
397.4754	0.2598
397.0484	0.2621
396.6242	0.2621
396.2003	0.262
395.7732	0.2643
395.3463	0.2666
394.9222	0.2665
394.4953	0.2688
394.0683	0.2711
393.6413	0.2732
393.2143	0.2756
392.7873	0.2778
392.3604	0.2801
391.9363	0.2801
391.5093	0.2823
391.0823	0.2846
390.6583	0.2846
390.2313	0.2868
389.8072	0.2868
389.3801	0.2891
388.9533	0.2913
388.5263	0.2936
388.1022	0.2936
387.6781	0.2936
387.2511	0.2958
386.8271	0.2958
386.4001	0.2981
385.9731	0.3003
385.5491	0.3003
385.1221	0.3026
384.6951	0.3048
384.2681	0.3071
383.8411	0.3094
383.4142	0.3115
382.9872	0.3139
382.5631	0.3139
382.136	0.3161
381.7092	0.3184
381.2822	0.3206
380.8552	0.3229
380.4282	0.3252
380.4253	0.3274
379.9983	0.3296
379.5714	0.332
379.1444	0.3342
379.1415	0.3365
379.1386	0.3388
379.1357	0.3411
378.7086	0.3433
378.2817	0.3456
378.2788	0.3479
377.8518	0.3502
377.4249	0.3524
377.422	0.3547
376.995	0.357
376.568	0.3592
376.141	0.3615
376.1381	0.3638
375.7111	0.366
375.7082	0.3683
375.2812	0.3706
374.8542	0.3728
374.8514	0.3751
374.4243	0.3774
374.4215	0.3797
373.9945	0.3819
373.5675	0.3841
373.5646	0.3865
373.1377	0.3887
373.1348	0.391
372.7078	0.3933
372.2808	0.3955
372.2779	0.3978
371.8509	0.4001
371.8479	0.4024
371.4239	0.4022
371.421	0.4046
370.9941	0.4069
370.9912	0.4092
370.5642	0.4114
370.5613	0.4137
370.5584	0.416
370.5554	0.4183
370.5526	0.4205
370.1256	0.4228
370.1227	0.4251
369.6957	0.4274
369.6928	0.4296
369.2687	0.4296
369.2658	0.4319
368.8388	0.4342
368.8359	0.4365
368.409	0.4386
368.4061	0.441
368.4032	0.4433
367.9762	0.4455
367.9733	0.4478
367.5463	0.4501
367.5434	0.4524
367.5405	0.4546
367.5375	0.4569
367.1106	0.4592
367.1077	0.4615
366.6806	0.4637
366.2537	0.466
366.2508	0.4683
365.8239	0.4705
365.821	0.4727
365.818	0.4751
365.8151	0.4774
365.8122	0.4797
365.8093	0.482
365.8064	0.4842
365.3795	0.4865
365.3765	0.4888
364.9496	0.491
364.9466	0.4933
364.5197	0.4956
364.5168	0.4979
364.0898	0.5001
364.0869	0.5024
364.084	0.5047
364.0811	0.507
363.6541	0.5091
363.6512	0.5114
363.2242	0.5138
363.2213	0.5161
362.7944	0.5183
362.7913	0.5206
362.7885	0.5229
362.7856	0.5252
362.7827	0.5274
362.3558	0.5297
362.3529	0.532
361.9287	0.532
361.5018	0.5343
361.4989	0.5365
361.0719	0.5388
360.6449	0.5411
360.642	0.5433
360.2151	0.5455
360.2122	0.5479
360.2092	0.5502
360.2063	0.5525
360.2034	0.5547
360.2005	0.557
359.7736	0.5593
359.7707	0.5615
359.7677	0.5638
359.3408	0.5661
359.3378	0.5684
358.9109	0.5707
358.4839	0.5729
358.4809	0.5752
358.054	0.5775
358.0511	0.5796
357.624	0.5819
357.6212	0.5843
357.1943	0.5865
356.7673	0.5888
356.7644	0.5911
356.3403	0.5911
356.3374	0.5934
356.3345	0.5956
355.9075	0.5979
355.9045	0.6002
355.4776	0.6024
355.0507	0.6047
355.0478	0.607
355.0449	0.6093
354.6179	0.6115
354.1909	0.6138
354.188	0.616
353.7639	0.616
353.761	0.6183
353.334	0.6206
353.3311	0.6229
352.9042	0.6251
352.9013	0.6274
352.4743	0.6297
352.4714	0.632
352.0444	0.6341
351.6174	0.6364
351.1904	0.6388
351.1875	0.641
350.7606	0.6433
350.3336	0.6456
349.9095	0.6455
349.4854	0.6455
349.0585	0.6478
349.0556	0.6501
348.6286	0.6522
348.6257	0.6545
348.6228	0.6569
348.1958	0.6592
348.1929	0.6614
348.19	0.6637
348.1871	0.666
348.1842	0.6683
348.1813	0.6705
347.7543	0.6728
347.7513	0.6751
347.7485	0.6774
347.3215	0.6797
347.3186	0.6819
347.3157	0.6842
347.3128	0.6865
347.3099	0.6888
346.8829	0.6911
346.88	0.6933
346.8771	0.6956
346.8742	0.6979
346.8713	0.7002
346.8683	0.7025
346.4414	0.7046
346.4385	0.7069
346.4356	0.7093
346.4327	0.7116
346.4298	0.7139
346.4269	0.7161
346.424	0.7184
345.9969	0.7207
345.9941	0.7229
345.9912	0.7252
345.9883	0.7275
345.9854	0.7298
345.9825	0.7321
345.9796	0.7344
345.5526	0.7366
345.5497	0.7389
345.5468	0.7412
345.5439	0.7435
345.541	0.7458
345.5381	0.7481
345.1111	0.7503
345.1082	0.7526
345.1053	0.7549
345.1024	0.7572
345.0995	0.7595
345.0966	0.7617
345.0937	0.764
344.6667	0.7663
344.6638	0.7686
344.6609	0.7708
344.658	0.7731
344.6551	0.7753
344.6522	0.7776
344.2252	0.78
344.2223	0.7822
344.2194	0.7845
344.2165	0.7868
344.2136	0.7891
344.2107	0.7913
343.7837	0.7936
343.7808	0.7959
343.7779	0.7982
343.775	0.8005
343.7721	0.8028
343.7692	0.805
343.7663	0.8073
343.3393	0.8096
343.3364	0.8119
343.3335	0.8142
343.3306	0.8164
343.3277	0.8187
343.3248	0.821
342.8978	0.8233
342.8949	0.8256
342.892	0.8277
342.8891	0.83
342.8862	0.8324
342.8833	0.8347
342.8803	0.837
342.4534	0.8392
342.4505	0.8415
342.4476	0.8437
342.4447	0.846
342.4418	0.8484
342.4389	0.8506
342.0119	0.8529
342.009	0.8552
342.0061	0.8575
342.0032	0.8598
342.0003	0.862
341.9973	0.8643
341.9944	0.8666
341.5675	0.8689
341.5646	0.8711
341.5617	0.8734
341.5588	0.8757
341.5558	0.878
341.5529	0.8803
341.55	0.8826
341.1231	0.8848
341.1202	0.8871
341.1173	0.8894
341.1144	0.8917
341.1114	0.894
341.1085	0.8961
340.6816	0.8984
340.6787	0.9008
340.6758	0.9031
340.6729	0.9053
340.6699	0.9076
340.667	0.9099
340.6641	0.9122
340.2372	0.9144
340.2343	0.9167
340.2314	0.919
340.2284	0.9213
340.2255	0.9236
340.2226	0.9259
339.7957	0.9281
339.7928	0.9304
339.7898	0.9327
339.7869	0.935
339.784	0.9373
339.3571	0.9395
339.3542	0.9418
338.9272	0.9441
338.5002	0.9463
338.4973	0.9485
338.4944	0.9508
338.4915	0.9532
338.4886	0.9555
338.4857	0.9577
338.4828	0.96
338.0558	0.9623
338.0529	0.9646
338.05	0.9668
338.0471	0.9691
338.0442	0.9714
