day	month	light_level	time	depth_m	Steenstrupia_rubra	Slabberia_halterata	Stomotoca_dinema	Turris_pileata	Bougainvillea_sp	Obelia_sp	Phialidium_sp	Cosmetira_pilosella	Saphenia_gracilis	Cyanea_capillata	Aurelia_aurita	Pleurobrachia_sp	Peachia_sp--larva	Arachnactis--larva	Tomopteris_helgolandica	Poecilochaetus--larva	Sagitta_bipunctata	Calanus_finmarchicus	Anomalocera_patersonii	Candacia_armata	Metridia_lucens	Caligus_rapax	Mysid_sp	Anchialus_agilis	Nyctiphanes_couchii	Cumacea	Hyperiid_sp	Apherusa_sp	Amphipoda	Leander_sp--larvae	Pandalid--larvae	Alpheus--larvae	Spirontocaris--larvae	Crangonid--larvae	Pontophilus--larvae	Homarus--larvae	Palinurus--phyllosoma	Galatheid--larvae	Galatheid--post-larvae	Upogebia--larvae	Upogebia--post-larvae	Callianassa--larvae	Axius--larvae	Pagurid--larvae	Pagurid--glaucothoe	Porcellana--zoea	Ebalia_sp--zoea	Crab--zoeas	Crab--megalopas	Echniospira--larvae	Limacina_retroversa	Tornaria--larvae	total_reported
18	June	dark	23:36	12.2	52	0	0	16	0	0	610	41	9	0	0	0	0	0	85	1	670	1230	4	30	0	1	19	8	4	0	0	110	0	2	80	0	0	60	0	0	16	330	50	210	1	90	0	50	9	310	0	4540	230	10	0	20	8898
18	June	dark	23:16	16.6	33	1	0	16	0	0	570	44	24	0	0	0	0	0	61	3	640	1810	2	80	10	3	40	11	8	1	1	80	0	1	240	0	0	61	1	0	31	690	70	400	1	60	0	140	6	1150	110	6910	400	20	0	10	13629
18	June	dark	22:55	20.7	15	1	1	53	0	0	150	47	20	0	0	0	1	1	49	8	360	1330	1	60	10	1	25	20	1	2	1	90	1	1	150	0	0	110	4	0	68	470	60	260	3	90	0	140	10	160	30	5210	390	40	0	0	8444
18	June	dark	22:33	25.8	26	0	1	62	10	20	260	113	25	0	0	0	0	0	33	11	260	2000	1	190	0	7	23	11	1	3	0	60	1	2	80	0	0	51	3	0	8	320	50	360	2	20	0	150	21	310	10	3480	500	20	0	0	8505
19	June	dawn	04:06	0.0	0	0	0	134	0	0	4	0	0	0	0	0	0	0	2	0	29	45	0	1	0	1	0	0	0	0	0	6	0	3	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	10	0	51	1	1	0	2	294
19	June	dawn	03:49	3.6	0	0	0	39	10	0	30	0	0	0	0	0	0	0	11	0	63	465	1	0	0	0	0	0	0	0	0	7	0	4	0	0	0	0	0	0	4	10	0	22	0	0	0	0	0	80	0	755	10	10	0	10	1531
19	June	dawn	03:28	8.0	1	0	1	50	10	30	40	4	0	0	0	0	0	0	59	1	90	460	0	0	0	5	0	0	0	0	0	60	0	2	20	0	0	0	0	0	13	50	20	330	0	30	2	20	0	480	0	1780	90	0	0	10	3658
19	June	dawn	03:09	13.9	0	0	0	19	30	0	80	65	2	1	0	0	0	0	84	1	64	340	1	160	10	6	2	1	1	0	0	40	0	1	40	0	0	0	0	0	12	190	40	650	0	70	2	20	1	870	0	3130	300	10	0	0	6243
19	June	dawn	02:49	23.7	4	0	5	21	120	30	290	25	2	1	0	5	0	0	8	1	131	360	0	100	10	3	9	2	0	0	1	20	0	4	40	0	0	0	0	0	7	340	120	180	0	10	1	100	5	1770	0	2230	330	30	0	0	6315
19	June	dawn	02:28	27.5	13	0	0	16	10	120	40	2	4	0	0	2	0	0	13	12	70	800	0	50	0	1	229	6	1	2	0	40	3	0	130	0	0	30	0	0	3	480	160	270	6	10	4	120	20	1550	0	3070	460	10	0	0	7577
19	June	daylight	09:12	0.0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	5	12	9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	119	22	0	0	0	176
19	June	daylight	08:54	4.0	0	0	0	4	0	11	23	0	0	0	0	1	0	0	0	0	32	314	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	12	0	239	19	0	0	0	660
19	June	daylight	08:35	11.1	0	0	0	58	0	155	110	0	0	0	0	0	0	0	3	0	57	1260	0	0	0	0	0	0	1	0	0	0	0	1	35	0	0	0	0	0	1	30	0	195	0	45	0	5	0	115	0	1170	35	5	0	0	3281
19	June	daylight	08:16	12.7	0	0	0	86	0	90	90	11	0	1	0	0	0	0	4	1	55	570	0	10	0	3	0	0	0	0	0	110	0	1	10	0	0	0	0	0	2	200	0	170	0	20	0	30	0	350	0	3420	70	30	0	0	5384
19	June	daylight	07:56	23.3	9	1	2	63	0	10	140	85	15	0	0	0	0	0	3	1	84	1410	4	20	0	6	1	0	2	0	2	270	0	1	170	0	0	60	1	0	9	440	10	300	0	20	0	40	0	1140	40	6330	140	30	0	0	8849
19	June	daylight	07:35	28.5	0	0	0	13	0	20	100	32	2	0	0	0	0	0	0	5	79	1310	3	70	0	10	0	0	2	0	0	100	0	0	250	0	0	20	1	0	32	650	0	480	0	50	0	120	0	1540	10	8850	360	40	0	0	14150

