Ma	percentO2
238.553	13.7707
237.8601	13.7711
236.4765	13.7116
235.7835	13.7121
234.4	13.6524
233.7093	13.5923
232.3256	13.5327
231.6328	13.5332
230.942	13.4731
229.5584	13.4134
228.8656	13.4139
227.482	13.3543
226.7891	13.3548
225.4055	13.2952
224.7147	13.2351
223.3332	13.1148
222.6402	13.1153
221.9475	13.1158
220.5638	13.0562
219.871	13.0567
218.4895	12.9364
217.7966	12.9369
216.413	12.8773
215.7223	12.8172
214.3387	12.7574
213.6479	12.6974
212.955	12.6979
211.5714	12.6383
210.8807	12.5782
209.4969	12.5185
208.8063	12.4584
207.4227	12.3988
206.7298	12.3993
205.3483	12.279
204.6554	12.2795
203.9647	12.2194
202.5811	12.1598
201.8881	12.1602
200.5067	12.04
199.8138	12.0405
198.4302	11.9809
197.7395	11.9207
196.3558	11.8612
195.663	11.8617
194.9701	11.862
193.5823	11.9237
192.8895	11.9242
191.5037	11.9252
190.8088	11.9863
189.4231	11.9872
188.7302	11.9878
187.3424	12.0493
186.6495	12.0498
185.9567	12.0503
184.571	12.0513
183.876	12.1124
182.4903	12.1134
181.7974	12.1139
180.4096	12.1755
179.7168	12.176
178.3311	12.1769
177.636	12.238
176.9432	12.2385
175.5575	12.2395
174.8647	12.24
173.4769	12.3016
172.784	12.3021
171.3982	12.3031
170.7033	12.3641
169.3176	12.3651
168.6247	12.3656
167.9319	12.366
166.5441	12.4277
165.8512	12.4282
164.4655	12.4292
163.7705	12.4903
162.3848	12.4912
161.692	12.4917
160.9969	12.5528
159.6113	12.5537
158.9184	12.5543
157.5306	12.6159
156.8378	12.6164
155.4521	12.6174
154.7591	12.6178
153.3714	12.6794
152.6785	12.6799
151.9857	12.6804
150.5979	12.742
149.905	12.7425
148.5192	12.7435
147.8264	12.744
146.4386	12.8054
145.7457	12.806
144.3578	12.8676
143.6651	12.8681
142.9722	12.8686
141.5865	12.8696
140.8915	12.9306
139.5058	12.9317
138.813	12.9322
137.4252	12.9937
136.7323	12.9942
135.3466	12.9952
134.6537	12.9957
133.9588	13.0568
132.5731	13.0578
131.8801	13.0583
130.4924	13.1199
129.7995	13.1203
128.4117	13.1819
127.7168	13.2429
126.3268	13.3652
125.6319	13.4263
124.9369	13.4874
123.547	13.6096
122.8521	13.6707
121.4621	13.7929
120.7671	13.854
119.3773	13.9762
118.6823	14.0373
117.9874	14.0984
116.5974	14.2206
115.9024	14.2817
114.5126	14.4039
113.8176	14.465
112.4277	14.5872
111.7327	14.6482
110.3428	14.7705
109.6479	14.8316
108.955	14.8321
107.5672	14.8936
106.8721	14.9546
105.4844	15.0163
104.7873	15.138
103.3996	15.1996
102.7046	15.2607
101.3147	15.3829
100.6197	15.444
99.9247	15.5051
99.2319	15.5056
98.5349	15.6273
97.842	15.6278
97.147	15.6888
96.45	15.8106
95.757	15.8111
95.0601	15.9327
94.3672	15.9333
93.6723	15.9944
92.9773	16.0555
92.2823	16.1166
91.5895	16.1171
90.8965	16.1175
90.2017	16.1786
89.5067	16.2397
88.8117	16.3008
88.1189	16.3013
87.4239	16.3624
86.729	16.4235
86.034	16.4846
85.3391	16.5457
84.6441	16.6068
83.9491	16.6679
83.2563	16.6684
82.5613	16.7295
81.8664	16.7906
81.1735	16.7911
80.4786	16.8521
79.7856	16.8527
79.0907	16.9138
78.3979	16.9143
77.7029	16.9754
77.008	17.0365
76.3151	17.0369
75.6202	17.098
74.9273	17.0985
74.2323	17.1596
73.5373	17.2207
72.8445	17.2212
72.1496	17.2823
71.4567	17.2828
70.7618	17.3439
70.0689	17.3444
69.3739	17.4055
68.679	17.4666
67.984	17.5276
67.2912	17.5282
66.5962	17.5893
65.9034	17.5897
65.2084	17.6509
64.5133	17.712
63.8206	17.7125
63.1256	17.7734
62.4328	17.774
61.7378	17.8351
61.045	17.8356
60.3521	17.8361
59.6592	17.8366
58.9664	17.8371
58.2735	17.8376
57.5807	17.838
56.8899	17.778
56.1971	17.7784
55.5042	17.7789
54.8134	17.7187
54.1206	17.7193
53.4277	17.7198
52.737	17.6597
52.0441	17.6602
51.3512	17.6606
50.6604	17.6005
49.9676	17.601
49.2748	17.6015
48.584	17.5413
47.8912	17.5419
47.1983	17.5424
46.5074	17.4823
45.8147	17.4828
45.1218	17.4832
44.4311	17.4231
43.7382	17.4236
43.0433	17.4847
42.3504	17.4852
41.6533	17.6069
40.9605	17.6074
40.2655	17.6684
39.5706	17.7296
38.8756	17.7907
38.1807	17.8518
37.4857	17.9129
36.7928	17.9134
36.0979	17.9745
35.4029	18.0356
34.708	18.0967
34.013	18.1578
33.3181	18.2189
32.6231	18.28
31.9302	18.2805
31.2332	18.4022
30.5403	18.4026
29.8454	18.4637
29.1504	18.5248
28.4555	18.5859
27.7626	18.5864
27.0676	18.6475
26.3727	18.7086
25.6777	18.7697
24.9828	18.8308
24.2878	18.8919
23.5929	18.9529
22.8979	19.0141
22.2029	19.0752
21.508	19.1363
20.813	19.1974
20.1181	19.2585
19.4231	19.3195
18.7282	19.3807
18.0332	19.4418
17.3382	19.5029
16.6433	19.564
15.9483	19.6251
15.2534	19.6862
14.5584	19.7473
13.8635	19.8084
13.1685	19.8695
12.4735	19.9306
11.7786	19.9917
11.0836	20.0528
10.3887	20.1139
9.6937	20.175
8.9988	20.2361
8.3038	20.2972
7.6088	20.3583
6.9139	20.4194
6.2189	20.4805
5.524	20.5415
4.829	20.6026
4.1341	20.6637
3.4391	20.7248
2.7441	20.7859
2.0492	20.847
1.3542	20.9081
0.6593	20.9691
