Ma	O2percent
223.6651	22.1111
222.9479	22.0471
221.5137	21.9192
220.7966	21.8552
219.3623	21.7271
218.6452	21.6633
217.9258	21.6625
216.4893	21.5979
215.7722	21.534
214.3356	21.4693
213.6162	21.4686
212.8968	21.4679
211.4603	21.4033
210.7409	21.4026
209.3044	21.3378
208.5873	21.274
207.8679	21.2732
206.4313	21.2086
205.7119	21.208
204.9925	21.2073
203.556	21.1426
202.8389	21.0786
201.4024	21.014
200.6853	20.95
199.9659	20.9493
198.5293	20.8847
197.8098	20.884
196.3734	20.8193
195.654	20.8187
194.9369	20.7547
193.4981	20.7532
192.781	20.6893
191.3399	20.7513
190.6181	20.8138
189.8988	20.8132
188.4577	20.8751
187.7361	20.9377
186.2927	21.0629
185.5733	21.0623
184.8516	21.1249
183.4104	21.1868
182.6888	21.2494
181.9672	21.312
180.5261	21.3739
179.8044	21.4365
178.3611	21.5617
177.6417	21.5611
176.92	21.6237
175.4767	21.7489
174.7572	21.7482
173.3162	21.8101
172.5922	21.936
171.8728	21.9353
170.4318	21.9971
169.7101	22.0599
168.9884	22.1225
167.5495	22.1211
166.8279	22.1837
165.38	22.4355
164.6583	22.4981
163.9344	22.624
162.4933	22.6859
161.7715	22.7485
160.3283	22.8737
159.6066	22.9363
158.8849	22.9989
157.4416	23.1242
156.7199	23.1868
155.9982	23.2494
154.5526	23.4379
153.8332	23.4372
152.3876	23.6257
151.6659	23.6883
150.9442	23.7509
149.5009	23.8761
148.7792	23.9386
147.3336	24.1272
146.6141	24.1265
145.8925	24.1891
144.4491	24.3144
143.7252	24.4402
142.2818	24.5655
141.5601	24.628
140.8203	25.197
139.3746	25.3855
138.6507	25.5114
137.9266	25.6373
136.4811	25.8258
135.7549	26.015
134.3092	26.2035
133.5853	26.3294
132.8636	26.392
131.4157	26.6437
130.694	26.7064
129.9701	26.8323
128.5267	26.9575
127.8028	27.0834
126.3594	27.2086
125.6355	27.3345
124.9138	27.3971
123.4681	27.5856
122.7465	27.6482
121.3008	27.8367
120.5769	27.9626
119.8575	27.9619
118.4096	28.2137
117.6879	28.2763
116.9662	28.3389
115.5206	28.5274
114.7966	28.6533
113.3533	28.7785
112.6293	28.9043
111.9054	29.0303
110.462	29.1555
109.7381	29.2814
108.2924	29.4699
107.5685	29.5958
106.8468	29.6583
105.3966	29.9735
104.675	30.0361
103.9533	30.0987
102.5099	30.2239
101.7905	30.2232
100.3472	30.3484
99.6255	30.411
98.9038	30.4736
98.1821	30.5362
97.4605	30.5989
96.741	30.5981
96.0171	30.7241
95.2977	30.7234
94.576	30.786
93.8544	30.8486
93.1327	30.9112
92.411	30.9738
91.6893	31.0364
90.9677	31.099
90.2483	31.0983
89.5266	31.1609
88.8072	31.1602
88.0901	31.0963
87.3707	31.0956
86.6535	31.0316
85.9364	30.9677
85.217	30.967
84.4999	30.903
83.7805	30.9022
83.0634	30.8384
82.3439	30.8377
81.6268	30.7737
80.9097	30.7097
80.1903	30.709
79.4732	30.6451
78.7538	30.6444
78.0344	30.6437
77.315	30.643
76.5956	30.6423
75.8784	30.5784
75.1591	30.5777
74.442	30.5137
73.7248	30.4497
73.0077	30.3858
72.2883	30.3851
71.5712	30.3211
70.854	30.257
70.1369	30.1932
69.4175	30.1925
68.7004	30.1285
67.9832	30.0645
67.2662	30.0006
66.5468	29.9999
65.8296	29.9359
65.1125	29.8719
64.3954	29.808
63.676	29.8073
62.9612	29.68
62.2418	29.6793
61.5246	29.6154
60.8052	29.6147
60.0904	29.4874
59.371	29.4867
58.6539	29.4228
57.9367	29.3588
57.2196	29.2948
56.5002	29.2941
55.7831	29.2302
55.066	29.1662
54.3488	29.1022
53.6294	29.1015
52.9123	29.0376
52.1929	29.0369
51.4758	28.9729
50.7587	28.9089
50.0415	28.845
49.3221	28.8443
48.6073	28.717
47.8879	28.7163
47.1708	28.6524
46.4559	28.5251
45.7365	28.5244
45.0194	28.4605
44.3023	28.3965
43.5852	28.3325
42.8679	28.2685
42.1509	28.2046
41.4338	28.1406
40.7167	28.0766
39.9995	28.0127
39.2824	27.9487
38.5676	27.8214
37.8527	27.6942
37.1356	27.6301
36.4184	27.5662
35.7014	27.5022
34.9842	27.4383
34.2717	27.2477
33.5523	27.2469
32.8397	27.0565
32.1226	26.9925
31.4054	26.9285
30.6883	26.8646
29.9712	26.8006
29.2541	26.7366
28.5392	26.6094
27.8221	26.5453
27.105	26.4814
26.3879	26.4175
25.6707	26.3535
24.9536	26.2894
24.2388	26.1623
23.5215	26.0983
22.8045	26.0343
22.0874	25.9703
21.3703	25.9064
20.6532	25.8424
19.9383	25.7151
19.2212	25.6512
18.5063	25.5239
17.7892	25.4599
17.0744	25.3327
16.3572	25.2687
15.6423	25.1414
14.9253	25.0775
14.2104	24.9502
13.4933	24.8862
12.7762	24.8223
12.0591	24.7583
11.3442	24.631
10.6271	24.5671
9.91	24.503
9.1928	24.4391
8.4757	24.3751
7.7609	24.2479
7.0437	24.1839
6.3266	24.1199
5.6118	23.9927
4.8947	23.9287
4.1775	23.8647
3.4627	23.7375
2.7433	23.7368
2.0284	23.6095
1.3113	23.5455
0.5941	23.4816
-0.1207	23.3543
-0.8378	23.2903
-1.5481	23.0365
-2.2652	22.9725
